Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Rain_Likelihood_Fuzzy,Dryness_Index
2017-06-11,Melbourne,3.4,15.5,0.2,2.0,7.5,SSW,22.0,NE,WSW,11.0,6.0,96.0,67.0,1029.1,1025.5,5.0,7.0,6.1,13.6,No,No,0.9999999985714271,0.14135501054149352
2008-07-16,Canberra,-0.9,12.8,0.2,2.0,1.9,N,17.0,SE,NNW,6.0,9.0,99.0,62.0,1024.1,1020.8,7.0,7.0,2.7,12.1,No,No,0.9999999985714271,0.13439129952168688
2012-07-31,Sydney,7.5,16.1,4.4,3.0,6.3,SW,44.0,W,SSW,26.0,24.0,60.0,52.0,1025.8,1022.9,6.0,6.0,9.9,13.7,Yes,No,0.6145555366797265,0.2138497392058552
2011-02-12,Adelaide,16.4,22.0,12.2,,2.4,SE,43.0,E,SSE,9.0,20.0,63.0,53.0,1021.4,1020.1,,,17.6,20.8,Yes,No,0.37151576463873137,0.2863167240016119
2011-05-05,WaggaWagga,3.1,18.8,0.0,2.4,10.1,SSW,31.0,ENE,S,6.0,11.0,82.0,27.0,1023.7,1021.8,1.0,1.0,10.0,18.2,No,No,0.0,0.3802019753602801
2011-07-28,Albany,10.4,19.5,1.4,3.0,6.1,,,NNW,NW,15.0,15.0,68.0,59.0,993.7,995.0,7.0,7.0,17.0,17.8,Yes,Yes,0.8014184457749958,0.22125735212333875
2010-03-03,Portland,14.8,23.2,0.0,5.0,11.3,ENE,35.0,E,E,20.0,15.0,84.0,51.0,1019.3,1015.7,8.0,0.0,15.6,22.6,No,No,0.295138902617931,0.3148374209273539
2016-02-03,Albury,19.8,25.8,0.0,,,SSE,31.0,SW,E,6.0,13.0,67.0,74.0,1002.8,1004.4,7.0,8.0,22.4,22.6,No,No,0.849999998785713,0.18555099322895163
2012-05-10,BadgerysCreek,7.3,27.1,0.0,,,E,20.0,ESE,NE,2.0,4.0,85.0,44.0,1022.0,1019.0,,,14.8,25.6,No,No,0.1999999997142855,0.4204860725744604
2012-03-06,PearceRAAF,18.0,39.2,0.0,,10.6,E,48.0,NE,NNW,20.0,9.0,13.0,8.0,1013.9,1009.1,0.0,1.0,31.2,38.1,No,No,0.0,0.9999999999916768
2016-10-07,Sale,15.5,27.3,0.0,,,WNW,72.0,NW,WNW,20.0,37.0,38.0,37.0,1010.9,1010.1,,,22.8,24.3,No,No,0.241071598985862,0.4766119187619857
2016-08-26,Walpole,8.4,19.8,0.0,,,NNE,46.0,N,N,22.0,11.0,55.0,47.0,1009.5,1003.1,,,14.4,19.0,No,Yes,0.357142883843511,0.2905892797667523
2011-10-26,Launceston,3.6,18.2,0.0,,,NW,28.0,ESE,NNW,6.0,19.0,66.0,57.0,1025.7,1024.2,,,11.7,17.3,No,No,0.8336466980818518,0.2165686383291263
2008-08-11,Perth,7.6,20.4,0.0,4.2,9.0,E,30.0,E,SE,9.0,9.0,57.0,33.0,1026.9,1023.5,6.0,1.0,11.0,20.3,No,No,0.0,0.3786483187184108
2010-06-13,MountGambier,4.8,13.5,0.0,0.6,1.0,NNW,15.0,ESE,,2.0,0.0,91.0,59.0,1033.7,1032.5,7.0,7.0,8.1,12.4,No,No,0.9499999986428557,0.15300743535551262
2016-04-17,Adelaide,11.9,21.6,0.0,,,SSE,26.0,ESE,E,9.0,7.0,49.0,30.0,1025.7,1020.6,,,15.2,21.2,No,No,0.0,0.41893241593259123
2009-06-22,Sale,3.1,18.3,0.0,0.8,8.0,E,26.0,NW,E,7.0,19.0,95.0,60.0,1019.8,1017.9,3.0,3.0,6.9,16.7,No,No,0.9718046035285175,0.20253024081509374
2016-11-02,PerthAirport,11.5,31.0,0.0,7.4,12.5,E,44.0,E,WSW,19.0,22.0,41.0,24.0,1014.6,1010.5,0.0,1.0,21.4,29.8,No,No,0.1641338349850072,0.6530906669571654
2012-07-13,Dartmoor,4.3,15.7,0.2,0.8,0.0,N,24.0,,N,0.0,7.0,100.0,83.0,1009.0,1006.5,,,5.3,13.2,No,Yes,0.9999999985714271,0.07349350793413471
2017-03-05,Portland,16.8,20.7,0.0,,,SE,43.0,SE,SE,24.0,24.0,82.0,72.0,1017.4,1018.0,8.0,8.0,17.3,18.0,No,No,0.746631053044951,0.16024858506136733
